"Município","","","Nome do Abrigo","","","","","","","","","","","","","Endereço Abrigo","","","","","","","","","","Capacidade",""
"PORTO ALEGRE","","","AABB","","","","","","","","","","","","","Rua Coronel Marcos, nº 1000","","","","","","","","","","58",""
"PORTO ALEGRE","","","Abrigo 60+","","","","","","","","","","","","","Avenida João Pessoa","","","","","","","","","","39",""
"PORTO ALEGRE","","","Abrigo Bento 6623 (Parceria da Manancial de Vida e Atacadão Miranda)","","","","","","","","","","","","","Avenida Bento Gonçalves, 6623. Partenon","","","","","","","","","","50",""
"PORTO ALEGRE","","","Abrigo BRDE","","","","","","","","","","","","","Avenida Juca Batista","","","","","","","","","","39",""
"PORTO ALEGRE","","","Abrigo Cipó - Congreção Evangélica São Paulo - Brasa","","","","","","","","","","","","","R. Cipo, 450  bairro passo da areia","","","","","","","","","","43",""
"PORTO ALEGRE","","","Abrigo Cozinha Solidária União do Vale - CEPA  nome correto seria Comunidade Evangélica de Porto Alegre-CEPA-Lar Parque Schwaderer","","","","","","","","","","","","","Dolores Duran 1211 em frente ao Condomínio Atmosfera","","","","","","","","","","120",""
"PORTO ALEGRE","","","Abrigo da Igreja BRASA Zona Norte","","","","","","","","","","","","","Rua Dona Alzira, 275","","","","","","","","","","163",""
"PORTO ALEGRE","","","Abrigo da Igreja de Ipanema","","","","","","","","","","","","","Rua Cirino Prunes","","","","","","","","","","25",""
"PORTO ALEGRE","","","ABRIGO DA JARI","","","","","","","","","","","","","Rua Jari     ou  Nilo Peçanha, 2400","","","","","","","","","","75",""
"PORTO ALEGRE","","","Abrigo do Forte","","","","","","","","","","","","","Avenida do Forte, 143.","","","","","","","","","","110",""
"PORTO ALEGRE","","","Abrigo Fonte Solidaria","","","","","","","","","","","","","Rua Alfazema, nº 160","","","","","","","","","","23",""
"PORTO ALEGRE","","","Abrigo Orione","","","","","","","","","","","","","Rua Dormenio, 501.","","","","","","","","","","11",""
"PORTO ALEGRE","","","Abrigo Renascer - Associação de Moradores Tabajara","","","","","","","","","","","","","Travessa Alameda servidao 25","","","","","","","","","","36",""
"PORTO ALEGRE","","","Abrigo Savil - Associação dos Moradores Vila Leão - Sarandi","","","","","","","","","","","","","Alameda Três de Outubro - Vila Leão","","","","","","","","","","40",""
"PORTO ALEGRE","","","AFISVEC","","","","","","","","","","","","","Avenida Cavalhada 1902 - Entrada pela Salvador Calamussi, 56","","","","","","","","","","99",""
"PORTO ALEGRE","","","Aliadas -  espaço onde era o ginásio da brigada","","","","","","","","","","","","","R. Felipe de Oliveira, 35 - Santa Cecília, Porto Alegre - RS,","","","","","","","","","","60",""
"PORTO ALEGRE","","","Amparo Santa Cruz","","","","","","","","","","","","","Estrada Costa Gama","","","","","","","","","","75",""
"PORTO ALEGRE","","","Amparo Santa Cruz","","","","","","","","","","","","","Estrada Costa Gama 719","","","","","","","","","","75",""
"PORTO ALEGRE","","","APAMECOR","","","","","","","","","","","","","Fernando Osório, 856","","","","","","","","","","73",""
"PORTO ALEGRE","","","Aparício GINÁSIO DA BRIGADA","","","","","","","","","","","","","Aparício Borges, 2001","","","","","","","","","","525",""
"PORTO ALEGRE","","","Arena GPS","","","","","","","","","","","","","Avenida Nossa Senhora Aparecida 225","","","","","","","","","","45",""
"PORTO ALEGRE","","","Assembléia de Deus ÁGAPE Porto Alegre- AD ÁGAPE","","","","","","","","","","","","","Av. Principal da Ponta Grossa, 707","","","","","","","","","","11",""
